date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:21	2158/2158	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2030%20Dec%202020%2009:53:49%20GMT	https://secure.go2ubl.com/bundles/Converter?v=20180122	C:/My%20Web%20Sites/yourubl/secure.go2ubl.com/bundles/Converterd6ec	(from https://secure.go2ubl.com/converter)
10:54:25	149/149	---M-Z	200	added ('OK')	text/plain	etag:%22804cdf8e531d31:0%22	https://signup.go2ubl.com/robots.txt		(from )
10:54:26	6055/6055	---M--	200	added ('OK')	image/png	etag:%22807910ae531d31:0%22	https://signup.go2ubl.com/Content/images/go2ubl-logo.png	C:/My%20Web%20Sites/yourubl/signup.go2ubl.com/Content/images/go2ubl-logo.png	(from https://signup.go2ubl.com/Home/EmailCheck)
10:54:26	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Dec%202020%2009:54:26%20GMT	http://cdn.mouseflow.com/projects/7d7d0cef-dfba-4185-920c-a63434e89ecb.js	C:/My%20Web%20Sites/yourubl/cdn.mouseflow.com/projects/7d7d0cef-dfba-4185-920c-a63434e89ecb.4f.delayed	(from https://signup.go2ubl.com/Home/EmailCheck)
10:54:27	171201/171201	---MCZ	200	added ('OK')	application/javascript	etag:W/%22924e4a1b0ddd61:0%22	https://cdn.mouseflow.com/projects/7d7d0cef-dfba-4185-920c-a63434e89ecb_eu.js	C:/My%20Web%20Sites/yourubl/cdn.mouseflow.com/projects/7d7d0cef-dfba-4185-920c-a63434e89ecb_eu.js	(from https://signup.go2ubl.com/Home/EmailCheck)
10:54:28	35367/35367	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:54:10%20GMT	https://www.go2ubl.com/NL	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/NL-2.html	(from https://www.go2ubl.com/en)
10:54:29	12112/12112	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:54:11%20GMT	https://www.go2ubl.com/en/How-does-it-work	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/en/How-does-it-work.html	(from https://www.go2ubl.com/en)
10:54:29	8497/8497	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:54:12%20GMT	https://www.go2ubl.com/en/How-does-it-work/the-app	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/en/How-does-it-work/the-app.html	(from https://www.go2ubl.com/en)
10:54:30	13045/13045	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:54:13%20GMT	https://www.go2ubl.com/en/How-does-it-work/ubbelen	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/en/How-does-it-work/ubbelen.html	(from https://www.go2ubl.com/en)
10:54:31	10660/10660	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:54:14%20GMT	https://www.go2ubl.com/en/Who-is-go2UBL	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/en/Who-is-go2UBL.html	(from https://www.go2ubl.com/en)
10:54:32	19807/19807	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:54:15%20GMT	https://www.go2ubl.com/en/Connections	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/en/Connections.html	(from https://www.go2ubl.com/en)
10:54:33	37989/37989	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:54:16%20GMT	https://www.go2ubl.com/en/Rates	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/en/Rates.html	(from https://www.go2ubl.com/en)
10:54:34	50889/50889	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:54:17%20GMT	https://www.go2ubl.com/en/FAQ	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/en/FAQ.html	(from https://www.go2ubl.com/en)
